Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
tpm_empty_item_first,YOU NEED TO EMPTY THIS ITEM FIRST !,YOU NEED TO EMPTY THIS ITEM FIRST !,TENTO PŘEDMĚT MUSÍ BÝT VYPRÁZDNĚN!,SIE BRAUCHEN DIESEN ARTIKEL ZUERST LEER!,Вам необходимо сначала опустошить данный товар.,POTRZEBUJESZ TEN ARTYKUL NAJPIERW PUSTY!,KIÜLTENI KELL EZT A TÉTELET!,DEVI SVUOTARE PRIMA QUESTO ARTICOLO!,¡NECESITA VACIAR ESTE ARTÍCULO PRIMERO!,VOUS DEVEZ VIDER CET OBJET AVANT DE LE VENDRE !,你需要先清空這個項目！,中身を空にしてください,VOCÊ PRECISA ESVAZIAR ESTE ARTIGO PRIMEIRO!,你需要先清空这个项目！
tpm_stockqty,STOCK QUANTITY:,STOCK QUANTITY:,MNOŽSTVÍ SKLADU:,BESTANDSMENGE:,КОЛИЧЕСТВО НА СКЛАДЕ:,WIELKOSC ZBIORÓW:,KÉSZLET MENNYISÉGE:,QUANTITÀ DI MAGAZZINO:,CANTIDAD DE STOCK:,QUANTITE EN STOCK:,庫存數量：,在庫数:,QUANTIDADE EM ESTOQUE:,库存数量：,
tpm_buyprice,BUY PRICE:,BUY PRICE:,KOUPIT CENU:,KAUFPREIS:,ЦЕНА ПОКУПКИ:,CENA KUPNA:,VÁRÁS ÁR:,ACQUISTA PREZZO:,PRECIO DE COMPRA:,PRIX D'ACHAT:,購買價格：,販売価格:,PREÇO DE COMPRA:,购买价格：,
tpm_sellprice,SELL PRICE:,SELL PRICE:,PRODEJNÍ CENA:,VERKAUFSPREIS:,ЦЕНА ПРОДАЖИ:,CENA SPRZEDAŻY:,ELADÁSI ÁR:,PREZZO DI VENDITA:,PRECIO DE VENTA:,PRIX DE VENTE:,售價：,買取価格:,PREÇO DE VENDA:,售价：,
tpm_slot,SLOT:,SLOT:,SLOT:,SLOT:,СЛОТ:,OTWÓR :,RÉS:,FESSURA:,ESPACIO:,SLOT:,投幣口：,スロット:,SLOT:,投币口：,
tpm_buy,BUY,BUY,KOUPIT,KAUFEN,КУПИТЬ,KUP,MEGVESZ,ACQUISTARE,COMPRAR,ACHETER,買,購入,COMPRAR,买,
tpm_sell,SELL,SELL,PRODAT,VERKAUFEN,ПРОДАТЬ,SPRZEDAĆ,ELAD,VENDERE,VENDER,VENDRE,賣,売却,VENDER,卖,
tpm_inventory,INVENTORY,INVENTORY,INVENTÁŘ,INVENTAR,ИНВЕНТАРЬ,INWENTARZ,LELTÁR,INVENTARIO,INVENTARIO,INVENTAIRE,存貨,インベントリ,INVENTÁRIO,存货,
tpm_stock,STOCK,STOCK,SKLAD,LAGER,СКЛАД,ZBIORY,KÉSZLET,AZIONE,EXISTENCIAS,STOCK,股票,在庫,ESTOQUE,股票,
tpm_product_informations,PRODUCT INFORMATIONS,PRODUCT INFORMATIONS,INFORMACE O PRODUKTU,PRODUKTINFORMATION,ИНФОРМАЦИЯ О ТОВАРЕ,INFORMACJE O PRODUKCIE,TERMÉK INFORMÁCIÓ,INFORMAZIONI SUL PRODOTTO,INFORMACIÓN DEL PRODUCTO,INFORMATIONS PRODUIT,產品信息,製品情報,INFORMAÇÃO DO PRODUTO,产品信息,
tpm_tradeqty,TRADE QUANTITY:,TRADE QUANTITY:,MNOŽSTVÍ OBCHODU:,HANDELSMENGE:,КОЛИЧЕСТВО В СДЕЛКЕ:,ILOSC HANDLOWA:,KERESKEDELMI MENNYISÉG:,QUANTITÀ COMMERCIALE:,CANTIDAD COMERCIAL:,QUANTITÉ COMMERCIALE:,交易數量：,取引量:,QUANTIDADE COMERCIAL:,交易数量：,
tpm_inventory_count,INVENTORY COUNT:,INVENTORY COUNT:,POČET V INVENTÁŘI:,INVENTURZÄHLUNG:,ТОВАРЫ В ИНВЕНТАРЕ:,ILOSC ZAPASÓW:,KÉSZLET SZÃ?MOL:,CONTEGGIO D'INVENTARIO:,CUENTA DE INVENTARIO:,TOTAL DANS INVENTAIRE:,庫存數量：,インベントリ数:,CONTAGEM DE INVENTÁRIO:,库存数量：,
tpm_stock_count,STOCK COUNT:,STOCK COUNT:,POČET VE SKLADU:,LAGERZAHL:,КОЛИЧЕСТВО НА СКЛАДЕ:,LICZBA ZAPASÓW:,KÉSZLETSZÁM:,CONTEGGIO IN MAGAZZINO:,CUENTA EN STOCK:,STOCK TOTAL:,庫存數量：,在庫数:,STOCK COUNT:,库存数量：,
tpm_all,ALL,ALL,VŠE,ALLE.,ВСЕ,WSZYSTKO.,MINDEN.,TUTTI.,TODO.,TOUT.,全部.,すべて,TUDO.,全部.,
tpm_vehicles,VEHICLES,VEHICLES,Vozidla.,Fahrzeuge.,Транспортные средства,Pojazdy.,Járművek.,Veicoli.,Vehículos.,VEHICULES,車輛.,車両,Veículos.,车辆.,
tpm_sellable,SELLABLE,SELLABLE,PRODEJNÉ,VERKAUFBAR.,НА ПРОДАЖУ,SPRZEDAWALNOŚĆ.,ELADÓ.,VENDIBILE.,VENDO.,VENDABLE.,可售.,売却可能,VENDIDO.,可售.,
tpm_dont_enough_money,YOU DON'T HAVE ENOUGH MONEY!,YOU DON'T HAVE ENOUGH MONEY!,NEMÁTE DOSTATEK PENĚZ!,DU HAST NICHT GENUG GELD.,У ВАС НЕДОСТАТОЧНО ДЕНЕГ,ZA MAŁO PIENIĘDZY.,NINCS ELÉG PÉNZE.,NON HAI ABBASTANZA SOLDI.,NO TIENES SUFICIENTE DINERO.,VOUS N'AVEZ PAS ASSEZ D'ARGENT.,你沒有足夠的錢.,あなたは十分なお金を持っていません,VOCÊ NÃO TEM DINHEIRO SUFICIENTE.,你没有足够的钱.,
tpm_not_enough_qty_stock,THERE IS NOT ENOUGH QUANTITY IN STOCK!,THERE IS NOT ENOUGH QUANTITY IN STOCK!,NABÍZENÉ MNOŽSTVÍ NENÍ SKLADEM!,ES IST NICHT GENUG MENGE AUF LAGER.,ТОВАРА НЕТ В НАЛИЧИИ,W MAGAZYNIE NIE MA WYSTARCZAJĄCEJ ILOŚCI.,RAKTÁRON NEM ELÉG A MENNYISÉG.,NON C'È ABBASTANZA QUANTITÀ IN MAGAZZINO.,NO HAY SUFICIENTE CANTIDAD EN STOCK.,IL N'Y A PAS ASSEZ DE QUANTITÉ EN STOCK.,庫存數量不足.,十分な量の在庫がありません,NÃO HÁ QUANTIDADE SUFICIENTE EM ESTOQUE.,库存数量不足.,
tpm_sell_success,THE SELL WAS A SUCCESS!,THE SELL WAS A SUCCESS!,PRODEJ BYL ÚSPĚŠNÝ!,DER VERKAUF WAR EIN ERFOLG.,УСПЕШНАЯ ПРОДАЖА,SPRZEDAŻ BYŁA SUKCESEM.,AZ ELADÁS SIKER volt.,LA VENDITA E' STATA UN SUCCESSO.,LA VENTA FUE UN ÉXITO.,LA VENTE A ÉTÉ EFFECTUÉE.,賣出成功.,売却に成功した,A VENDA FOI UM SUCESSO.,卖出成功.,
tpm_sell_failed,THE SELL HAS FAILED!,THE SELL HAS FAILED!,PRODEJ SELHAL,DER VERKAUF IST FEHLGESCHLAGEN.,ПРОДАЖА НЕ СОСТОЯЛАСЬ,SPRZEDAŻ NIE POWIODŁA SIĘ.,Az eladás sikertelen volt.,LA VENDITA È FALLITA.,LA VENTA HA FALLADO.,LA VENTE A ÉCHOUÉ.,銷售失敗.,売却に失敗した,A VENDA FALHOU.,销售失败.,
tpm_buy_success,YOU SUCCESSFULLY GOT YOUR GOOD!,YOU SUCCESSFULLY GOT YOUR GOOD!,ÚSPĚŠNĚ SI ZÍSKAL SVÉ PŘEDMĚTY!,SIE HABEN IHR GUT ERFOLGREICH ERHALTEN.,ВЫ УСПЕШНО ПОЛУЧИЛИ ТОВАР,POMYŚLNIE OTRZYMASZ SWOJE DOBRO.,SIKERESEN JUTTAD JÓDAT.,HAI OTTENUTO CON SUCCESSO IL TUO BENE.,USTED CONSEGUIÓ EXITOSAMENTE SU ATÍCULO.,VOUS AVEZ BIEN REÇU VOTRE ACHAT.,你成功地得到了你的好處.,あなたはうまくあなたの良いものを手に入れました.,VOCÊ OBTEVE SEU BEM COM SUCESSO.,你成功地得到了你的好处.,
tpm_buy_failed,YOUR GOOD WASN'T ABLE TO BE GIVEN TO YOU !,YOUR GOOD WASN'T ABLE TO BE GIVEN TO YOU !,TVÉ PŘEDMĚTY TI NEMOHLY BÝT PŘEDÁNY!,DEIN GUT KANN DIR NICHT GEGEBEN WERDEN.,ТОВАР НЕ МОЖЕТ БЫТЬ ВЫДАН,TWOJEGO DOBRA NIE MOŻNA CI DAĆ.,JÓDAT NEM TUDTÁNAK NEKED NEM ADNI.,IL TUO BENE NON TI ERA IN GRADO DI ESSERE DATO.,TU BIEN NO PODRÍA SER DADO.,VOTRE ACHAT N'A PAS PU VOUS ÊTRE DONNÉ.,你的好東西不能給你.,購入に失敗した,SEU BEM NÃO PODERIA SER DADO A VOCÊ.,你的好东西不能给你.,
tpm_hand_attachments,HAND ATTACHMENTS,HAND ATTACHMENTS,RUČNÍ PŘÍSLUŠENSTVÍ,HANDBEFESTIGUNGEN.,РУЧНЫЕ ПРИСПОСОБЛЕНИЯ,PRZYSTAWKI DO RĘK.,KÉZI RENDSZEREK.,ATTACCHI A MANO.,ADJUNTOS PARA LAS MANOS.,ACCESSOIRES EN MAIN.,手動附件.,手持ち,ANEXOS DE MÃO.,手动附件.,
tpm_showall,SHOW ALL,SHOW ALL,UKÁZAT VŠE,ZEIGE ALLES.,ПОКАЗАТЬ ВСЕ,POKAŻ WSZYSTKO.,MUTASD AZ ÖSSZESET.,MOSTRA TUTTO.,MOSTRAR TODO.,AFFICHER TOUT.,顯示所有.,すべて表示する.,MOSTRE TUDO.,显示所有.,
tpm_licence_msg,YOU DON'T HAVE THE FOLLOWING LICENSES TO USE THE TRADER:,YOU DON'T HAVE THE FOLLOWING LICENSES TO USE THE TRADER:,K POUŽÍTÍ OBCHODNÍKA NEMÁŠ NÁSLEDUJÍCÍ LICENCE:,SIE HABEN NICHT DIE FOLGENDEN LIZENZEN = UM DEN TRADER ZU BENUTZEN:.,У вас нет следующей лицензии для торговли:,NIE POSIADASZ NASTĘPUJĄCYCH LICENCJI NA KORZYSTANIE Z PRZEDSIĘBIORCY:.,NEM VAN A KÖVETKEZŐ ENGEDÉLYEKKEL A KERESKEDŐ HASZNÁLATÁRA:.,NON HAI LE SEGUENTI LICENZE PER UTILIZZARE IL TRADER:.,USTED NO TIENE LAS SIGUIENTES LICENCIAS PARA USAR EL TRADER:.,VOUS N'AVEZ PAS LES LICENCES SUIVANTES POUR UTILISER LE COMMERCANT :.,您沒有使用交易者的以下許可：.,トレーダーを使用するための次のライセンスを持っていません。,VOCÊ NÃO TEM AS SEGUINTES LICENÇAS PARA USAR O COMERCIANTE:.,您没有使用交易者的以下许可：.,
tpm_licences,LICENSES,LICENSES,LICENCE,LIZENZEN,ЛИЦЕНЗИИ,LICENCJE,ENGEDÉLYEK,LICENZE,LICENCIAS,LICENCES,許可證,ライセンス,LICENÇAS,许可证,
tpm_money,MONEY:,MONEY:,PENÍZE:,GELD:,НАЛИЧНЫЕ:,PIENIĄDZE:,PÉNZ:,I SOLDI:,DINERO:,ARGENT:,錢:,所持金:,DINHEIRO:,钱:,
tpm_Itemname,ITEM NAME,ITEM NAME,NÁZEV POLOŽKY,ARTIKELNAME,НАЗВАНИЕ ПРЕДМЕТА,NAZWA ELEMENTU,TERMÉK NÉV,NOME DELL'ELEMENTO,NOMBRE DEL ÁRTICULO,NOM DE L'ARTICLE,項目名稱,アイテム名,NOME DO ITEM,项目名称,
tpm_health,HEALTH,HEALTH,ZDRAVÍ,GESUNDHEIT.,ЗДОРОВЬЕ,ZDROWIE.,EGÉSZSÉG.,SALUTE.,SALUD.,SANTÉ.,健康.,状態,SAÚDE.,健康.,
tpm_count,COUNT,COUNT,POČET,ANZAHL.,КОЛИЧЕСТВО,LICZYĆ.,SZÁMOL.,CONTARE.,CONTAR.,COMPTER.,數數.,数量,CONTAR.,数数.,
tpm_search,Search,Search,Vyhledat,Suche.,Поиск,Szukaj.,Keresés.,Ricerca.,Buscar.,Rechercher.,搜索.,検索,Procurar.,搜索.,
tpm_about_the_mod,About the Mod,About the Mod,O módu,Über die Mod.,О моде,O Mod.,A Mod-ról.,Informazioni sul mod.,Sobre el Mod.,À propos du module.,關於模組.,Modについて,Sobre o Mod.,关于模组.,
tpm_insurances,INSURANCES,INSURANCES,POJIŠTĚNÍ,VERSICHERUNGEN,СТРАХОВАНИЕ,UBEZPIECZENIA,BIZTOSÍTÁSOK,ASSICURAZIONI,SEGUROS,ASSURANCES,保险,保険,SEGUROS,保险,
tpm_vehicle_assured,VEHICLE INSURED,VEHICLE INSURED,VOZIDLO POJIŠTĚNO. ,FAHRZEUG VERSICHERT. ,АВТОМОБИЛЬ ЗАСТРАХОВАН. ,POJAZD UBEZPIECZONY. ,BIZTOSÍTOTT GÉPJÁRMŰ. ,VEICOLO ASSICURATO. ,VEHÍCULO ASEGURADO. ,VÉHICULE ASSURÉ. ,車輛保險. ,保険付き車両. ,VEÍCULO SEGURADO. ,车辆保险.,
tpm_size,ITEM SIZE:,ITEM SIZE:,VELIKOST POLOŽKY: ,ARTIKELGRÖSSE:,РАЗМЕР ПУНКТА:,ROZMIAR POZYCJI: ,TERMÉK MÉRETE: ,TAGLIA ARTICOLO: ,TAMAÑO DEL ARTÍCULO: ,TAILLE DE L'ARTICLE : ,商品尺寸：,アイテムサイズ:,TAMANHO DO ARTIGO:,商品尺寸:,
tpm_claim_insurance_money,CLAIM MONEY,CLAIM MONEY,ŽÁDEJTE PENÍZE,GELD BEANSPRUCHEN,ПОЛУЧИТЬ ДЕНЬГИ,ODBIERZ PIENIĄDZE,PÉNZIGÉNY,RICHIESTA SOLDI,RECLAMAR DINERO,RÉCLAMER DE L'ARGENT,索賠,補償金を請求,REQUER DINHEIRO,索赔,
tpm_donators_text,donations will be updated every new update,donations will be updated every new update,dary budou aktualizovány každou novou aktualizaci,Spenden werden bei jedem neuen Update aktualisiert,пожертвования будут обновляться каждое новое обновление,darowizny będą aktualizowane przy każdej nowej aktualizacji,az adományokat minden új frissítéskor frissíteni fogjuk,le donazioni verranno aggiornate ad ogni nuovo aggiornamento,las donaciones se actualizarán cada nueva actualización,Les dons seront mis à jour à chaque nouvelle mise à jour,每次更新都會更新捐款,寄付はあたらしいアップデート毎に更新されます,as doações serão atualizadas a cada nova atualização,每次更新都会更新捐款,
STR_creditcard,Credit Card,Credit Card,Kreditní karta,Kreditkarte,Кредитная карта,Karta kredytowa,Hitelkártya,Carta di credito,Tarjeta de crédito,Carte de crédit,信用卡,クレジットカード,Cartão de crédito,信用卡,
STR_creditcard_des,Premium credit card. Can be used for all kind of transaction. Still not accepted everywhere. Provided by chubby's bank.,Premium credit card. Can be used for all kind of transaction. Still not accepted everywhere. Provided by chubby's bank.,"Prémiová kreditní karta, kterou lze použít pro všechny druhy transakcí, bohužel stále není přijímána všude. Poskytuje chubbyho banka.",Premium-Kreditkarte. Kann für alle Arten von Transaktionen verwendet werden. Wird immer noch nicht überall akzeptiert. Zur Verfügung gestellt von molliger Bank.,Премиальная кредитная карта. Может использоваться для всех видов транзакций. По-прежнему не везде принимаются. Предоставлено chubby's bank.,Karta kredytowa premium. Może być używany do wszelkiego rodzaju transakcji. Wciąż nie wszędzie akceptowany. Dostarczone przez bank chubby.,Prémium hitelkártya. Minden típusú tranzakcióhoz használható. Még mindig nem mindenhol fogadják el. Pufók bankja biztosítja.,Carta di credito premium. Può essere utilizzato per tutti i tipi di transazione. Ancora non accettato ovunque. Fornito dalla banca di Chubby.,Tarjeta de crédito premium. Se puede utilizar para todo tipo de transacciones. Todavía no es aceptado en todas partes. Proporcionado por Chubby's Bank.,Carte de crédit premium. Peut être utilisé pour tout type de transaction. Toujours pas accepté partout. Fourni par la banque de Chubby.,高級信用卡。 可用於各種交易。 仍然沒有被到處接受。 由胖胖的銀行提供。,プレミアムクレジットカード。 各種お取引にご利用いただけます。 まだ、どこでも使えるわけではありません。チャビー銀行提供。,Cartão de crédito premium. Pode ser usado para todo tipo de transação. Ainda não é aceito em todos os lugares. Fornecido pelo banco do chubby.,高级信用卡。 可用于各种交易。 仍然没有被所有地方接受。 由胖胖的银行提供。,
STR_car_receipt,Car Receipt,Car Receipt,Potvrzení o vlastnictví auta,Autoquittung,Чек на автомобиль,Odbiór samochodu,Autóbevétel,Ricevuta dell'auto,Recibo de vehículo,Reçu de voiture,汽車收據,車のレシート,Recibo do carro,汽车收据,
STR_car_receipt_des,That receipt confirm that you own a car! Deploy it or throw it to get your car in game !,That receipt confirm that you own a car! Deploy it or throw it to get your car in game !,"Tento doklad potvrzuje, že vlastníte auto. Nasaďte jej nebo hoďte, abyste dostali své auto do hry. ","Diese Quittung bestätigt, dass Sie ein Auto besitzen. Setzen Sie es ein oder werfen Sie es, um Ihr Auto ins Spiel zu bringen. ","Эта квитанция подтверждает, что вы владеете автомобилем. Разверните его или бросьте, чтобы получить свою машину в игре.. ","Ten paragon potwierdza, że \u200b\u200bposiadasz samochód. Wdróż go lub rzuć, aby wprowadzić samochód do gry. ","Ez a nyugta igazolja, hogy van autója. Vezesd be vagy dobd be, hogy játékba lendítsd az autódat. ",Quella ricevuta conferma che possiedi un'auto. Schieralo o lancialo per far entrare la tua auto in gioco. ,Ese recibo confirma que eres dueño de un vehículo. Despliégalo o lánzalo para que tu vehículo entre en el juego.. ,Ce reçu confirme que vous possédez une voiture. Déployez-le ou lancez-le pour mettre votre voiture en jeu. ,該收據確認您擁有汽車. 部署它或扔掉它，讓您的汽車進入遊戲. ,その領収書はあなたが車を所有していることを確認します. それを展開するか投げて、あなたの車をゲームに入れましょう. ,Esse recibo confirma que você possui um carro. Implante-o ou jogue-o para colocar seu carro no jogo. ,该收据确认您拥有汽车. 部署它或扔掉它，让您的汽车进入游戏.,
STR_packing_wrench,Car Packing Wrench,Car Packing Wrench,Klíč na balení auta,Autoverpackungsschlüssel,Ключ для упаковки автомобиля,Klucz do pakowania samochodów,Autós csomagoló kulcs,Autós csomagoló kulcs,Herramienta de embalaje para vehículos,Clé d'emballage de voiture,汽車包裝扳手,車のパッキングレンチ,Chave de embalagem de carro,汽车包装扳手,
STR_packing_wrench_des,That reinforced wrench allows you to pack a car!,That reinforced wrench allows you to pack a car!,Tento vyztužený klíč ti umožní sbalit auto!,Mit diesem verstärkten Schraubenschlüssel können Sie ein Auto packen!,Этот усиленный ключ позволяет упаковать машину!,Ten wzmocniony klucz pozwala spakować samochód!,Ez a megerősített kulcs lehetővé teszi = hogy csomagoljon autót!,Quella chiave rinforzata ti permette di caricare un'auto!,¡Esta herramienta reforzada te permite Embalar un vehículo!,Cette clé renforcée vous permet d'emballer une voiture !,那個加強型扳手可以讓你裝車！,この強化レンチで車を収納することができます！,Essa chave reforçada permite que você carregue um carro!,那个加强型扳手可以让你装车！,
STR_1USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,1 USD,
STR_2USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,2 USD,
STR_5USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,5 USD,
STR_10USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,10 USD,
STR_20USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,20 USD,
STR_50USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,50 USD,
STR_100USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,100 USD,
STR_5EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,5 EUR,
STR_10EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,10 EUR,
